"id","date","time","vmc","un_vmc","temperature","humidity"
316,"16/11/2022","17:57:15","29.10","8.60","23.60
","65.50"
317,"16/11/2022","17:57:18","29.05","8.62","23.60
","65.20"
318,"16/11/2022","17:57:18","29.05","8.62","23.60
","65.20"
319,"16/11/2022","17:57:21","28.63","8.69","23.60
","65.50"
320,"16/11/2022","17:57:21","28.63","8.69","23.60
","65.50"
321,"16/11/2022","17:57:24","28.70","8.67","23.70
","64.90"
322,"16/11/2022","17:57:27","28.63","8.69","23.70
","64.80"
323,"16/11/2022","17:57:27","28.63","8.69","23.70
","64.80"
324,"16/11/2022","17:57:29","28.53","8.70","23.60
","66.30"
325,"16/11/2022","17:57:29","28.53","8.70","23.60
","66.30"
326,"16/11/2022","17:57:32","29.08","8.60","23.60
","65.20"
327,"16/11/2022","17:57:32","29.08","8.60","23.60
","65.20"
328,"16/11/2022","17:57:35","28.63","8.69","23.70
","65.30"
329,"16/11/2022","17:57:35","28.63","8.69","23.70
","65.30"
330,"16/11/2022","17:57:38","28.63","8.69","23.60
","65.50"
331,"16/11/2022","17:57:38","28.63","8.69","23.60
","65.50"
332,"16/11/2022","17:57:41","28.63","8.69","23.60
","65.70"
333,"16/11/2022","17:57:44","28.63","8.69","23.60
","66.50"
334,"16/11/2022","17:57:44","28.63","8.69","23.60
","66.50"
335,"16/11/2022","17:57:46","29.03","8.62","23.70
","65.40"
336,"16/11/2022","17:57:46","29.03","8.62","23.70
","65.40"
337,"16/11/2022","17:57:49","28.63","8.69","23.60
","66.50"
338,"16/11/2022","17:57:49","28.63","8.69","23.60
","66.50"
339,"16/11/2022","17:57:52","28.63","8.69","23.60
","65.20"
340,"16/11/2022","17:57:52","28.63","8.69","23.60
","65.20"
341,"16/11/2022","17:57:55","29.12","8.60","23.60
","65.10"
342,"16/11/2022","17:57:55","29.12","8.60","23.60
","65.10"
343,"16/11/2022","17:57:58","28.63","8.69","23.70
","65.20"
344,"16/11/2022","17:57:58","28.63","8.69","23.70
","65.20"
345,"16/11/2022","17:58:1","28.63","8.69","nan
","nan"
346,"16/11/2022","17:58:1","28.63","8.69","nan
","nan"
347,"16/11/2022","17:58:4","28.63","8.69","nan
","nan"
348,"16/11/2022","17:58:4","28.63","8.69","nan
","nan"
349,"16/11/2022","17:58:7","28.63","8.69","nan
","nan"
350,"16/11/2022","17:58:10","28.63","8.69","nan
","nan"
351,"16/11/2022","17:58:10","28.63","8.69","nan
","nan"
352,"16/11/2022","17:58:12","28.55","8.70","nan
","nan"
353,"16/11/2022","17:58:12","28.55","8.70","nan
","nan"
354,"16/11/2022","17:58:15","28.55","8.70","nan
","nan"
355,"16/11/2022","17:58:15","28.55","8.70","nan
","nan"
356,"16/11/2022","17:58:18","29.10","8.60","nan
","nan"
357,"16/11/2022","17:58:18","29.10","8.60","nan
","nan"
358,"16/11/2022","17:58:21","28.55","8.70","nan
","nan"
359,"16/11/2022","17:58:21","28.55","8.70","nan
","nan"
360,"16/11/2022","17:58:24","28.46","8.72","nan
","nan"
361,"16/11/2022","17:58:24","28.46","8.72","nan
","nan"
362,"16/11/2022","17:58:27","28.55","8.70","nan
","nan"
363,"16/11/2022","17:58:30","28.48","8.72","nan
","nan"
364,"16/11/2022","17:58:30","28.48","8.72","nan
","nan"
365,"16/11/2022","17:58:32","28.46","8.72","nan
","nan"
366,"16/11/2022","17:58:32","28.46","8.72","nan
","nan"
367,"16/11/2022","17:58:35","28.38","8.74","nan
","nan"
368,"16/11/2022","17:58:35","28.38","8.74","nan
","nan"
369,"16/11/2022","17:58:38","28.38","8.74","nan
","nan"
370,"16/11/2022","17:58:38","28.38","8.74","nan
","nan"
371,"16/11/2022","17:58:41","28.46","8.72","nan
","nan"
372,"16/11/2022","17:58:41","28.46","8.72","nan
","nan"
373,"16/11/2022","17:58:44","28.46","8.72","nan
","nan"
374,"16/11/2022","17:58:44","28.46","8.72","nan
","nan"
375,"16/11/2022","17:58:47","28.48","8.72","nan
","nan"
376,"16/11/2022","17:58:50","28.48","8.72","nan
","nan"
377,"16/11/2022","17:58:50","28.48","8.72","nan
","nan"
378,"16/11/2022","17:58:52","29.03","8.62","nan
","nan"
379,"16/11/2022","17:58:52","29.03","8.62","nan
","nan"
380,"16/11/2022","17:58:55","28.48","8.72","nan
","nan"
381,"16/11/2022","17:58:55","28.48","8.72","nan
","nan"
382,"16/11/2022","17:58:58","28.48","8.72","nan
","nan"
383,"16/11/2022","17:58:58","28.48","8.72","nan
","nan"
384,"16/11/2022","17:59:1","29.12","8.60","nan
","nan"
385,"16/11/2022","17:59:1","29.12","8.60","nan
","nan"
386,"16/11/2022","17:59:4","28.57","8.70","nan
","nan"
387,"16/11/2022","17:59:4","28.57","8.70","nan
","nan"
388,"16/11/2022","17:59:7","28.48","8.72","nan
","nan"
389,"16/11/2022","17:59:10","28.48","8.72","nan
","nan"
390,"16/11/2022","17:59:10","28.48","8.72","nan
","nan"
391,"16/11/2022","17:59:12","28.93","8.64","nan
","nan"
392,"16/11/2022","17:59:12","28.93","8.64","nan
","nan"
393,"16/11/2022","17:59:15","28.46","8.72","nan
","nan"
394,"16/11/2022","17:59:15","28.46","8.72","nan
","nan"
395,"16/11/2022","17:59:18","28.38","8.74","nan
","nan"
396,"16/11/2022","17:59:18","28.38","8.74","nan
","nan"
397,"16/11/2022","17:59:21","28.48","8.72","nan
","nan"
398,"16/11/2022","17:59:21","28.48","8.72","nan
","nan"
399,"16/11/2022","17:59:24","28.48","8.72","nan
","nan"
400,"16/11/2022","17:59:24","28.48","8.72","nan
","nan"
401,"16/11/2022","17:59:27","28.40","8.74","nan
","nan"
402,"16/11/2022","17:59:30","28.40","8.74","nan
","nan"
403,"16/11/2022","17:59:30","28.40","8.74","nan
","nan"
404,"16/11/2022","17:59:33","28.95","8.64","nan
","nan"
405,"16/11/2022","17:59:33","28.95","8.64","nan
","nan"
406,"16/11/2022","17:59:35","28.30","8.76","nan
","nan"
407,"16/11/2022","17:59:35","28.30","8.76","nan
","nan"
408,"16/11/2022","17:59:38","28.38","8.74","nan
","nan"
409,"16/11/2022","17:59:38","28.38","8.74","nan
","nan"
410,"16/11/2022","17:59:41","28.40","8.74","nan
","nan"
411,"16/11/2022","17:59:41","28.40","8.74","nan
","nan"
412,"16/11/2022","17:59:44","28.48","8.72","nan
","nan"
